key,name,source,numeric_scores,model_count,document_count,highest_raw_value,highest_display_value,display_multiplier,unit,direction,headroom_state,percentage_headroom,release_date,score_date_precision,document_organizations,highest_observations
llm-stats:aa-briefcase,AA-Briefcase,llm_stats,3,3,1,1577.0,1577.0,1,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 3}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/aa-briefcase?top_n=500"", ""key"": ""llm-stats:aa-briefcase"", ""measured_by"": null, ""model_id"": ""grok-4.6"", ""model_name"": ""Grok 4.6"", ""obs_id"": ""llm_stats:aa-briefcase:grok-4.6"", ""organization"": ""xAI"", ""rank_in_source_response"": 1, ""raw_value"": ""1577.0"", ""reported_by"": ""self_reported"", ""reported_date"": ""2026-08-12"", ""series_id"": ""llm_stats:aa-briefcase:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/aa-briefcase?top_n=500"", ""value"": 1577.0, ""value_kind"": ""number""}]"
llm-stats:aa-index,AA-Index,llm_stats,4,4,1,0.677,67.7,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 4}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/aa-index?top_n=500"", ""key"": ""llm-stats:aa-index"", ""measured_by"": null, ""model_id"": ""glm-4.5"", ""model_name"": ""GLM-4.5"", ""obs_id"": ""llm_stats:aa-index:glm-4.5"", ""organization"": ""Z.ai"", ""rank_in_source_response"": 1, ""raw_value"": ""0.677"", ""reported_by"": ""self_reported"", ""reported_date"": ""2025-07-28"", ""series_id"": ""llm_stats:aa-index:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/aa-index?top_n=500"", ""value"": 0.677, ""value_kind"": ""number""}]"
llm-stats:aa-lcr,AA-LCR,llm_stats,18,18,1,0.8,80.0,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 18}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/aa-lcr?top_n=500"", ""key"": ""llm-stats:aa-lcr"", ""measured_by"": null, ""model_id"": ""muse-glimmer-30b"", ""model_name"": ""Muse Glimmer-30B"", ""obs_id"": ""llm_stats:aa-lcr:muse-glimmer-30b"", ""organization"": ""Meta"", ""rank_in_source_response"": 1, ""raw_value"": ""0.8"", ""reported_by"": ""self_reported"", ""reported_date"": ""2026-08-10"", ""series_id"": ""llm_stats:aa-lcr:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/aa-lcr?top_n=500"", ""value"": 0.8, ""value_kind"": ""number""}]"
llm-stats:aa-omniscience-index,AA-Omniscience Index,llm_stats,2,2,1,126.0,126.0,1,,higher_is_better,other_or_unverified_scale,,2025-11-16,"{""model_announcement"": 2}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/aa-omniscience-index?top_n=500"", ""key"": ""llm-stats:aa-omniscience-index"", ""measured_by"": null, ""model_id"": ""grok-4.5"", ""model_name"": ""Grok 4.5"", ""obs_id"": ""llm_stats:aa-omniscience-index:grok-4.5"", ""organization"": ""xAI"", ""rank_in_source_response"": 1, ""raw_value"": ""126.0"", ""reported_by"": ""third_party"", ""reported_date"": ""2026-07-16"", ""series_id"": ""llm_stats:aa-omniscience-index:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/aa-omniscience-index?top_n=500"", ""value"": 126.0, ""value_kind"": ""number""}]"
llm-stats:acebench,ACEBench,llm_stats,2,2,1,0.765,76.5,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 2}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/acebench?top_n=500"", ""key"": ""llm-stats:acebench"", ""measured_by"": null, ""model_id"": ""kimi-k2-instruct"", ""model_name"": ""Kimi K2 Instruct"", ""obs_id"": ""llm_stats:acebench:kimi-k2-instruct"", ""organization"": ""Moonshot AI"", ""rank_in_source_response"": 2, ""raw_value"": ""0.765"", ""reported_by"": ""self_reported"", ""reported_date"": ""2025-07-11"", ""series_id"": ""llm_stats:acebench:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/acebench?top_n=500"", ""value"": 0.765, ""value_kind"": ""number""}, {""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/acebench?top_n=500"", ""key"": ""llm-stats:acebench"", ""measured_by"": null, ""model_id"": ""kimi-k2-instruct-0905"", ""model_name"": ""Kimi K2-Instruct-0905"", ""obs_id"": ""llm_stats:acebench:kimi-k2-instruct-0905"", ""organization"": ""Moonshot AI"", ""rank_in_source_response"": 1, ""raw_value"": ""0.765"", ""reported_by"": ""self_reported"", ""reported_date"": ""2025-09-05"", ""series_id"": ""llm_stats:acebench:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/acebench?top_n=500"", ""value"": 0.765, ""value_kind"": ""number""}]"
llm-stats:activitynet,ActivityNet,llm_stats,1,1,1,0.619,61.9,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 1}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/activitynet?top_n=500"", ""key"": ""llm-stats:activitynet"", ""measured_by"": null, ""model_id"": ""gpt-4o-2024-08-06"", ""model_name"": ""GPT-4o"", ""obs_id"": ""llm_stats:activitynet:gpt-4o-2024-08-06"", ""organization"": ""OpenAI"", ""rank_in_source_response"": 1, ""raw_value"": ""0.619"", ""reported_by"": ""self_reported"", ""reported_date"": ""2024-08-06"", ""series_id"": ""llm_stats:activitynet:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/activitynet?top_n=500"", ""value"": 0.619, ""value_kind"": ""number""}]"
llm-stats:advancedif,AdvancedIF,llm_stats,2,2,1,0.85,85.0,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 2}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/advancedif?top_n=500"", ""key"": ""llm-stats:advancedif"", ""measured_by"": null, ""model_id"": ""mai-thinking-1"", ""model_name"": ""MAI-Thinking-1"", ""obs_id"": ""llm_stats:advancedif:mai-thinking-1"", ""organization"": ""Microsoft"", ""rank_in_source_response"": 1, ""raw_value"": ""0.85"", ""reported_by"": ""self_reported"", ""reported_date"": ""2026-06-02"", ""series_id"": ""llm_stats:advancedif:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/advancedif?top_n=500"", ""value"": 0.85, ""value_kind"": ""number""}]"
llm-stats:aethercode,AetherCode,llm_stats,2,2,1,0.679,67.9,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 2}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/aethercode?top_n=500"", ""key"": ""llm-stats:aethercode"", ""measured_by"": null, ""model_id"": ""seed-2.1-turbo"", ""model_name"": ""Seed 2.1 Turbo"", ""obs_id"": ""llm_stats:aethercode:seed-2.1-turbo"", ""organization"": ""ByteDance"", ""rank_in_source_response"": 1, ""raw_value"": ""0.679"", ""reported_by"": ""self_reported"", ""reported_date"": ""2026-06-24"", ""series_id"": ""llm_stats:aethercode:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/aethercode?top_n=500"", ""value"": 0.679, ""value_kind"": ""number""}]"
llm-stats:agent-startup-bench,Agent Startup Bench,llm_stats,2,2,1,0.688,68.8,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 2}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/agent-startup-bench?top_n=500"", ""key"": ""llm-stats:agent-startup-bench"", ""measured_by"": null, ""model_id"": ""seed-2.1-pro"", ""model_name"": ""Seed 2.1 Pro"", ""obs_id"": ""llm_stats:agent-startup-bench:seed-2.1-pro"", ""organization"": ""ByteDance"", ""rank_in_source_response"": 1, ""raw_value"": ""0.688"", ""reported_by"": ""self_reported"", ""reported_date"": ""2026-06-24"", ""series_id"": ""llm_stats:agent-startup-bench:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/agent-startup-bench?top_n=500"", ""value"": 0.688, ""value_kind"": ""number""}]"
llm-stats:agents-last-exam,Agents' Last Exam,llm_stats,10,10,1,0.527,52.7,100,,higher_is_better,other_or_unverified_scale,,,"{""model_announcement"": 10}",[],"[{""comparable_group"": null, ""crawled_at"": ""2026-08-17T18:49:35.489925+00:00"", ""date_precision"": ""model_announcement"", ""document_id"": ""llm_stats:https://api.zeroeval.com/leaderboard/benchmarks/agents-last-exam?top_n=500"", ""key"": ""llm-stats:agents-last-exam"", ""measured_by"": null, ""model_id"": ""gpt-5.6-sol"", ""model_name"": ""GPT-5.6 Sol"", ""obs_id"": ""llm_stats:agents-last-exam:gpt-5.6-sol"", ""organization"": ""OpenAI"", ""rank_in_source_response"": 1, ""raw_value"": ""0.527"", ""reported_by"": ""self_reported"", ""reported_date"": ""2026-07-09"", ""series_id"": ""llm_stats:agents-last-exam:default"", ""source"": ""llm_stats"", ""source_url"": ""https://api.zeroeval.com/leaderboard/benchmarks/agents-last-exam?top_n=500"", ""value"": 0.527, ""value_kind"": ""number""}]"
